category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100215,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100216,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100217,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100218,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100219,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100220,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100221,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100222,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100223,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100224,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100225,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100226,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100227,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100228,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100229,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100230,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100231,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100232,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100233,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100234,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100235,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100236,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100237,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100238,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100239,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100240,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100241,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100242,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100243,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100244,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100245,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100246,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100247,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100248,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100249,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100250,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100251,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100252,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100253,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100254,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100255,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100256,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100257,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100258,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100259,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100260,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100261,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100262,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100263,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100264,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100265,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100266,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100267,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100268,0,200,-1.7000000000000013,0,9,9,7,0
iid,iid_stage6,100269,0,200,-2.0000000000000013,0,0,0,7,3
